ds,y,open,high,low,vol.,change %,lag1_y,lag1_open,lag1_vol,lag1_change_pct,lag2_y,lag2_open,lag2_vol,lag2_change_pct,lag3_y,lag3_open,lag3_vol,lag3_change_pct,lag4_y,lag4_open,lag4_vol,lag4_change_pct,lag5_y,lag5_open,lag5_vol,lag5_change_pct,lag6_y,lag6_open,lag6_vol,lag6_change_pct,lag7_y,lag7_open,lag7_vol,lag7_change_pct,SMA_7_days,EMA_7_days,SMA_1_month,EMA_1_month,SMA_3_months,EMA_3_months,SMA_6_months,EMA_6_months,EMA_1_day,SMA_1_day
2015-07-12,310.4,292.0,315.9,291.3,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.4,0.0,310.4,0.0,310.4,0.0,310.4,310.4,310.4
2015-07-13,290.4,310.4,310.9,276.9,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4,0.0,309.10967741935485,0.0,309.9604395604395,0.0,310.17900552486185,290.4,290.4
2015-07-14,287.0,290.4,297.0,285.2,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.79999999999995,0.0,307.6832466181062,0.0,309.4558145151551,0.0,309.92288391685236,287.0,287.0
2015-07-15,283.4,287.0,292.9,283.2,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.44999999999993,0.0,306.11658554597034,0.0,308.8831592510858,0.0,309.62981337633465,283.4,283.4
2015-07-16,276.6,283.4,290.8,273.3,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.48749999999995,0.0,304.21228970429485,0.0,308.1736392675454,0.0,309.264843062784,276.6,276.6
2015-07-17,279.6,276.6,280.8,271.2,62120.0,1.1,276.6,283.4,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.515625,0.0,302.6244000459533,0.0,307.5456471957312,0.0,308.9370547416483,279.6,279.6
2015-07-18,274.0,279.6,282.5,243.2,55340.0,-1.99,279.6,276.6,62120.0,1.1,276.6,283.4,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,0.0,0.0,0.0,0.0,285.9142857142857,284.88671875,0.0,300.7776645591176,0.0,306.80838022439644,0.0,308.5510099378732,274.0,274.0
2015-07-19,273.2,274.0,277.1,271.9,30200.0,-0.32,274.0,279.6,55340.0,-1.99,279.6,276.6,62120.0,1.1,276.6,283.4,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,310.4,292.0,120700.0,6.33,280.59999999999997,281.9650390625,0.0,298.99846039401325,0.0,306.06973450517893,0.0,308.16039104353206,273.2,273.2
2015-07-20,277.7,273.2,278.9,271.8,46600.0,1.65,273.2,274.0,30200.0,-0.32,274.0,279.6,55340.0,-1.99,279.6,276.6,62120.0,1.1,276.6,283.4,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,290.4,310.4,146850.0,-6.47,278.7857142857143,280.898779296875,0.0,297.62436617504466,0.0,305.44622385671346,0.0,307.8238121369737,277.7,277.7
2015-07-21,275.1,277.7,281.0,274.2,49050.0,-0.93,277.7,273.2,46600.0,1.65,273.2,274.0,30200.0,-0.32,274.0,279.6,55340.0,-1.99,279.6,276.6,62120.0,1.1,276.6,283.4,121320.0,-2.41,283.4,287.0,59580.0,-1.23,287.0,290.4,60620.0,-1.17,277.0857142857143,279.44908447265624,0.0,296.17118126052566,0.0,304.77927388184065,0.0,307.46222305258726,275.1,275.1
